,date,min,max,avg,range
560,2022-06-28,58.25004578,65.35435486,61.64614895,7.104309082
561,2022-06-29,57.01451492,63.57827377,60.23043617,6.56375885
562,2022-06-30,55.23843765,67.90263367,61.06109479,12.66419601
563,2022-07-01,55.9334259,66.97598267,61.3506728,11.04255676
564,2022-07-02,56.31953049,65.12268829,60.80637397,8.803157806
565,2022-07-03,54.77511597,61.33887482,56.91316348,6.56375885
566,2022-07-04,54.31179047,67.1304245,60.57095793,12.81863403
567,2022-07-05,56.16508865,71.06867981,63.86946188,14.90359116
568,2022-07-06,58.79059219,70.21925354,64.99935065,11.42866135
569,2022-07-07,58.55892944,68.5976181,64.24805771,10.03868866
570,2022-07-08,57.94116592,69.13816833,64.28291424,11.19700241
571,2022-07-09,56.93729401,71.06867981,64.5526504,14.1313858
572,2022-07-10,59.48557663,71.91811371,66.19144538,12.43253708
573,2022-07-11,60.02612305,75.85636902,68.3970618,15.83024597
574,2022-07-12,60.64389038,70.52813721,66.35714814,9.884246826
575,2022-07-13,57.16895676,69.0609436,62.75995048,11.89198685
576,2022-07-14,56.08786774,70.37369537,63.63565456,14.28582764
577,2022-07-15,57.55506134,68.21151733,63.85766443,10.65645599
578,2022-07-16,59.09947586,67.36209106,63.53591108,8.262615204
579,2022-07-17,56.78285217,68.44317627,62.91492809,11.6603241
580,2022-07-18,57.32339859,69.29261017,63.70107767,11.96921158
581,2022-07-19,56.62841034,71.99533081,64.92320257,15.36692047
582,2022-07-20,58.01838303,70.29647827,64.99077087,12.27809525
583,2022-07-21,57.47784042,67.36209106,63.30907538,9.884250641
584,2022-07-22,56.08786774,63.88715744,59.78588086,7.799289703
585,2022-07-23,55.23843765,65.6632309,59.4083573,10.42479324
586,2022-07-24,54.4662323,68.44317627,60.48193985,13.97694397
587,2022-07-25,59.02225494,74.69805908,66.39790373,15.67580414
588,2022-07-26,66.66710663,79.33129883,72.2473721,12.6641922
589,2022-07-27,61.87942123,72.53587341,66.39093195,10.65645218
590,2022-07-28,59.09947586,69.13816833,63.37664358,10.03869247
591,2022-07-29,58.25004578,71.53200531,63.8732153,13.28195953
592,2022-07-30,59.33113861,76.39691162,66.7652381,17.06577301
593,2022-07-31,62.57440567,74.85250092,68.02382848,12.27809525
594,2022-08-01,57.63228226,67.59375,62.01884641,9.961467743
595,2022-08-02,56.78285217,66.35822296,61.06806615,9.575370789
596,2022-08-03,55.77898407,64.89102936,60.07706735,9.112045288
597,2022-08-04,57.63228226,64.04160309,60.83372315,6.409320831
598,2022-08-05,54.4662323,68.9837265,61.4155594,14.5174942
599,2022-08-06,61.64775848,74.92971802,67.26824546,13.28195953
600,2022-08-07,62.80606842,77.78688812,69.75110534,14.9808197
